xid        iau_name           ra       dec    poserr  s0520         s_err0520    cts_0520 cts_err_0520  L_0520  bkg_cts_0520  exptime_0520  s210          s_err210      cts_210  cts_err_210  L_210   bkg_cts_210  exptime_210  s510          s_err510      cts_510  cts_err_510 L_510   bkg_cts_510  exptime_510 
  54069  XMMU_J095800.9+021250 149.504066  2.214033     1.41           0.46           0.07       57              9    47.00           0.66          12.06          -0.24           0.00         0             0    -1.00         -1.00          0.00          -0.85           0.00         0            0    -1.00         -1.00          0.00
  54434  XMMU_J095833.8+014612 149.641064  1.770074     1.31           0.16           0.03       73             12    29.46           1.23          42.81          -0.25           0.00         0             0    -1.00         -1.00          0.00          -0.26           0.00         0            0    -1.00         -1.00          0.00
  60020  XMMU_J100252.0+024047 150.717060  2.679783     2.19           0.12           0.03       32              8    12.17           0.71          25.86          -0.76           0.00         0             0    -1.00         -1.00          0.00          -0.92           0.00         0            0    -1.00         -1.00          0.00
  60443  XMMU_J095751.8+014520 149.465941  1.755579     1.73           0.16           0.04       36              8    13.69           0.53          21.70          -0.79           0.00         0             0    -1.00         -1.00          0.00          -1.33           0.00         0            0    -1.00         -1.00          0.00
  60461  XMMU_J095809.5+015237 149.539804  1.877118     1.84           0.12           0.03       41              9    14.66           0.75          32.57          -0.12           0.00         0             0    -1.00         -1.00          0.00          -0.01           0.00         0            0    -1.00         -1.00          0.00
  60512  XMMU_J095908.2+015731 149.784358  1.958809     1.74           0.09           0.02       39             10    10.02           1.15          42.92          -0.29           0.00         0             0    -1.00         -1.00          0.00          -0.23           0.00         0            0    -1.00         -1.00          0.00
  60513  XMMU_J095802.7+014509 149.511618  1.752538     2.22           0.13           0.03       39              8    11.63           0.67          29.21          -0.53           0.00         0             0    -1.00         -1.00          0.00          -1.03           0.00         0            0    -1.00         -1.00          0.00
    225  XMMU_J100052.0+021943 150.216817  2.328767     0.80           0.11           0.02       88             14    24.43           1.97          77.99           0.57           0.13        90            15    23.76          2.67         76.93          -1.12           0.00         0            0    -1.00         -1.00          0.00
    276  XMMU_J100203.5+024836 150.514836  2.810143     1.34           0.68           0.05      246             17   213.90           1.06          34.43           1.83           0.31       130            16    50.58          1.52         34.66           1.37           0.34        48           11    12.76          1.18         29.25
    332  XMMU_J100108.5+021834 150.285499  2.309472     0.86           0.17           0.02      127             15    53.64           1.82          70.88          -1.03           0.00         0             0    -1.00         -1.00          0.00          -0.94           0.00         0            0    -1.00         -1.00          0.00
    541  XMMU_J100028.3+022750 150.118274  2.463970     1.29           0.11           0.02       52             10    16.04           0.95          46.45          -1.20           0.15        39            10     6.30          1.17         47.37          -0.92           0.00         0            0    -1.00         -1.00          0.00
    558  XMMU_J100219.3+025049 150.580765  2.847014     1.39           0.78           0.06      233             17   245.04           0.89          28.59           0.91           0.28        51            12    11.89          1.22         27.74          -0.95           0.00         0            0    -1.00         -1.00          0.00
   2239  XMMU_J100209.5+015224 150.539609  1.873588     1.27           0.38           0.04      172             15   107.86           1.30          43.05           2.66           0.23       242            15   149.63          1.98         44.22          -1.45           0.28        48           12     7.05          1.48         36.02
   2622  XMMU_J100117.7+020601 150.323900  2.100321     1.12           0.18           0.02       89              9    26.45           1.39          48.69           0.67           0.18        67            13    16.92          1.89         49.26          -1.38           0.00         0            0    -1.00         -1.00          0.00
   2645  XMMU_J100112.3+021655 150.301666  2.282144     1.63           0.17           0.02      127             16    51.65           1.76          71.24           0.51           0.14        74            15    15.54          2.34         71.44          -1.25           0.00         0            0    -1.00         -1.00          0.00
   2814  XMMU_J100132.1+020400 150.383823  2.066761     1.04           0.16           0.02       89             14    29.79           1.58          54.29           1.46           0.23       165            19    28.46          2.32         55.09          -1.53           0.24        57           13     7.56          1.74         47.81
   5073  XMMU_J095858.7+013804 149.744789  1.634564     1.38           1.07           0.07      252             15    92.78           0.73          22.65           1.29           0.34        60            11    18.26          1.03         22.71          -1.01           0.00         0            0    -1.00         -1.00          0.00
   5185  XMMU_J100211.3+015215 150.547470  1.870985     1.38          -0.19           0.00        0              0    -1.00          -1.00           0.00           0.95           0.23        86            15    20.36          2.00         44.44          -2.16           0.00         0            0    -1.00         -1.00          0.00
   5383  XMMU_J100221.0+025403 150.587714  2.900845     0.91           0.83           0.08      146             13   144.32           0.62          16.84           2.07           0.47        69            11    28.80          0.90         16.36          -1.64           0.00         0            0    -1.00         -1.00          0.00
   5521  XMMU_J100222.1+025238 150.592329  2.877345     1.19           0.39           0.05       79             10    53.18           0.65          19.62          -0.43           0.00         0             0    -1.00         -1.00          0.00          -0.44           0.00         0            0    -1.00         -1.00          0.00
   5545  XMMU_J095851.6+024901 149.715208  2.816984     2.05           0.14           0.02       66             11    24.41           1.06          46.97           0.56           0.18        54            12    14.24          1.44         47.04          -0.55           0.00         0            0    -1.00         -1.00          0.00
  10158  XMMU_J095935.5+024839 149.898198  2.810892     1.79           0.31           0.04       78             11    39.60           0.67          24.27          -1.29           0.26        26             9     7.96          0.98         24.06          -1.20           0.00         0            0    -1.00         -1.00          0.00
  10796  XMMU_J100224.0+021620 150.600252  2.272390     2.26           0.14           0.02       67             12    20.92           1.06          47.68          -0.79           0.00         0             0    -1.00         -1.00          0.00          -0.83           0.00         0            0    -1.00         -1.00          0.00
  30687  XMMU_J100125.9+020130 150.358016  2.025051     1.72           0.13           0.02       67             12    15.78           1.44          50.83          -0.69           0.00         0             0    -1.00         -1.00          0.00          -0.57           0.00         0            0    -1.00         -1.00          0.00
  30748  XMMU_J095912.5+015023 149.802391  1.839954     1.44           0.27           0.03      133             15   239.14           1.71          47.80          -0.35           0.00         0             0    -1.00         -1.00          0.00          -0.66           0.00         0            0    -1.00         -1.00          0.00
  53352  XMMU_J100217.2+024818 150.571709  2.805009     1.44           0.14           0.03       54             10    17.84           1.10          37.80          -1.26           0.21        49            12     8.60          1.57         38.47          -1.46           0.00         0            0    -1.00         -1.00          0.00
  53409  XMMU_J100321.8+020324 150.841231  2.056798     0.98          82.90           2.46     1499             44  5074.16           0.11           1.73          10.80           2.67        40             7    36.72          0.15          1.82          -1.17           0.00         0            0    -1.00         -1.00          0.00
  53720  XMMU_J100126.4+020423 150.360179  2.073305     2.14           0.12           0.02       57             11    15.13           1.43          47.67          -0.50           0.00         0             0    -1.00         -1.00          0.00          -0.15           0.00         0            0    -1.00         -1.00          0.00
  53986  XMMU_J095933.6+024826 149.890015  2.807261     1.65           0.45           0.05      103             12    92.93           0.52          22.14          -0.55           0.00         0             0    -1.00         -1.00          0.00          -0.75           0.00         0            0    -1.00         -1.00          0.00
  54451  XMMU_J100300.7+022042 150.753195  2.345154     1.42           0.17           0.04       51             11    11.25           0.90          28.85           1.17           0.30        67            12    17.39          1.33         28.24          -4.26           0.00         0            0    -1.00         -1.00          0.00
  54530  XMMU_J095832.9+014411 149.637402  1.736428     1.33          -0.09           0.00        0              0    -1.00          -1.00           0.00           1.00           0.24        82            14    18.45          1.66         39.71          -1.37           0.00         0            0    -1.00         -1.00          0.00
  60086  XMMU_J100107.0+023650 150.279571  2.614145     2.30          -0.18           0.00        0              0    -1.00          -1.00           0.00           0.63           0.16        81            14    16.43          2.02         62.36          -2.31           0.00         0            0    -1.00         -1.00          0.00
  53402  XMMU_J100158.8+023619 150.495029  2.605548     2.28           0.10           0.02       67             13    16.14           1.94          65.59          -1.43           0.00         0             0    -1.00         -1.00          0.00          -1.84           0.00         0            0    -1.00         -1.00          0.00
  53628  XMMU_J100141.8+014303 150.424289  1.717532     1.75           0.16           0.02       99             13    45.41           1.28          58.53          -1.00           0.00         0             0    -1.00         -1.00          0.00          -0.95           0.00         0            0    -1.00         -1.00          0.00
  53689  XMMU_J100145.7+015326 150.440518  1.890729     2.16           0.07           0.02       44             12    23.85           1.64          57.25          -0.67           0.00         0             0    -1.00         -1.00          0.00          -0.94           0.00         0            0    -1.00         -1.00          0.00
  54406  XMMU_J095841.9+013440 149.674659  1.577951     2.17           0.25           0.05       48              9    22.72           0.66          18.54          -0.79           0.00         0             0    -1.00         -1.00          0.00          -0.39           0.00         0            0    -1.00         -1.00          0.00
  60038  XMMU_J100225.1+022132 150.604681  2.359074     2.63           0.10           0.02       42             10    11.73           1.01          41.11          -0.81           0.00         0             0    -1.00         -1.00          0.00          -0.93           0.00         0            0    -1.00         -1.00          0.00
  60082  XMMU_J100221.7+022722 150.590740  2.456152     1.47          -0.12           0.00        0              0    -1.00          -1.00           0.00           0.62           0.21        45            11    11.60          0.99         35.35          -1.52           0.00         0            0    -1.00         -1.00          0.00
  60088  XMMU_J100027.1+023500 150.113044  2.583571     2.60           0.11           0.02       45             10    14.93           0.89          40.31          -0.28           0.00         0             0    -1.00         -1.00          0.00          -0.13           0.00         0            0    -1.00         -1.00          0.00
  60091  XMMU_J100112.5+025515 150.302436  2.920917     7.30           0.54           0.09       62             10    12.75           0.28          11.14          -4.55           0.00         0             0    -1.00         -1.00          0.00          -6.92           0.00         0            0    -1.00         -1.00          0.00
  60299  XMMU_J095918.8+025427 149.828539  2.907541     1.82           0.29           0.07       29              7    13.34           0.31           9.75          -2.28           0.00         0             0    -1.00         -1.00          0.00          -2.92           0.00         0            0    -1.00         -1.00          0.00
  60304  XMMU_J095925.6+024537 149.856667  2.760512     2.43           0.12           0.03       34              8    12.09           0.63          28.48          -1.55           0.00         0             0    -1.00         -1.00          0.00          -1.23           0.00         0            0    -1.00         -1.00          0.00
  60360  XMMU_J095945.8+021608 149.941029  2.268932     1.52          -0.04           0.00        0              0    -1.00          -1.00           0.00           0.46           0.16        53            13    11.65          1.62         56.61          -0.46           0.00         0            0    -1.00         -1.00          0.00
  60433  XMMU_J095820.5+013119 149.585647  1.522027     2.97          -0.32           0.00        0              0    -1.00          -1.00           0.00           1.64           0.63        22             6    10.34          0.39          6.73          -3.17           0.00         0            0    -1.00         -1.00          0.00
  70002  XMMU_J100121.2+022639 150.338570  2.444171     1.75          -0.54           0.00        0              0    -1.00          -1.00           0.00           0.53           0.15        61            12    13.40          1.35         56.63          -2.68           0.00         0            0    -1.00         -1.00          0.00
  70003  XMMU_J100231.5+021519 150.631267  2.255490     1.75          -0.18           0.00        0              0    -1.00          -1.00           0.00           0.68           0.18        66            13    19.41          1.30         47.20          -0.94           0.00         0            0    -1.00         -1.00          0.00
  70004  XMMU_J100216.1+023012 150.567437  2.503366     1.75          -1.74           0.00        0              0    -1.00          -1.00           0.00           1.18           0.20       129            16    44.97          1.90         53.23          -3.08           0.00         0            0    -1.00         -1.00          0.00
  70005  XMMU_J100114.3+023015 150.309812  2.504370     1.75          -0.40           0.00        0              0    -1.00          -1.00           0.00           0.45           0.13        57            12    11.44          1.59         63.02          -1.70           0.00         0            0    -1.00         -1.00          0.00
  70007  XMMU_J100123.5+022328 150.348317  2.391209     1.75          -0.45           0.00        0              0    -1.00          -1.00           0.00           0.88           0.18       110            16    43.54          1.91         61.24          -1.42           0.00         0            0    -1.00         -1.00          0.00
  70009  XMMU_J100059.6+021723 150.248459  2.289945     1.75          -0.11           0.00        0              0    -1.00          -1.00           0.00           0.54           0.13        80            14    20.54          2.56         71.87          -1.06           0.00         0            0    -1.00         -1.00          0.00
  70010  XMMU_J100135.3+023025 150.397451  2.507026     1.75          -0.48           0.00        0              0    -1.00          -1.00           0.00           0.73           0.17        96            16    26.31          1.74         64.02          -2.38           0.00         0            0    -1.00         -1.00          0.00
  70011  XMMU_J100154.2+024925 150.475906  2.823698     1.75          -0.41           0.00        0              0    -1.00          -1.00           0.00           0.56           0.22        40            11    10.52          1.61         34.91          -2.19           0.00         0            0    -1.00         -1.00          0.00
  70013  XMMU_J100213.3+022947 150.555648  2.496544     1.75          -0.39           0.00        0              0    -1.00          -1.00           0.00           0.52           0.17        57            13    11.46          1.82         53.53          -1.51           0.00         0            0    -1.00         -1.00          0.00
  70014  XMMU_J100100.5+023814 150.252169  2.637261     1.75          -0.16           0.00        0              0    -1.00          -1.00           0.00           0.51           0.15        67            14    11.20          2.17         63.82          -2.28           0.00         0            0    -1.00         -1.00          0.00
  70015  XMMU_J100032.9+021626 150.137478  2.273985     1.75          -0.16           0.00        0              0    -1.00          -1.00           0.00           0.54           0.16        71            15    13.07          1.97         64.43          -0.82           0.00         0            0    -1.00         -1.00          0.00
  70017  XMMU_J100056.6+023837 150.235922  2.643695     1.75          -0.25           0.00        0              0    -1.00          -1.00           0.00           0.57           0.17        69            15    10.10          2.02         59.18          -2.90           0.00         0            0    -1.00         -1.00          0.00
  70019  XMMU_J100102.8+023230 150.261711  2.541923     1.75          -0.21           0.00        0              0    -1.00          -1.00           0.00           0.47           0.14        67            14    13.35          1.96         69.00          -2.03           0.00         0            0    -1.00         -1.00          0.00
  70020  XMMU_J100110.1+023127 150.292480  2.524305     1.75          -0.18           0.00        0              0    -1.00          -1.00           0.00           0.51           0.14        70            14    19.73          1.75         67.23          -2.03           0.00         0            0    -1.00         -1.00          0.00
  70024  XMMU_J100155.2+023738 150.480382  2.627277     1.75          -0.28           0.00        0              0    -1.00          -1.00           0.00           0.46           0.14        54            12    11.73          2.47         57.72          -2.66           0.00         0            0    -1.00         -1.00          0.00
  70025  XMMU_J100121.0+022806 150.337647  2.468593     1.75          -0.36           0.00        0              0    -1.00          -1.00           0.00           0.47           0.09        50             7    11.72          1.18         52.71          -2.73           0.00         0            0    -1.00         -1.00          0.00
  70026  XMMU_J100117.3+022609 150.322323  2.435904     1.75          -0.24           0.00        0              0    -1.00          -1.00           0.00           0.39           0.14        46            12    11.12          1.65         57.44          -1.95           0.00         0            0    -1.00         -1.00          0.00
  70032  XMMU_J100059.6+025319 150.248706  2.888794     1.75          -0.29           0.00        0              0    -1.00          -1.00           0.00           0.91           0.32        45            11    10.46          1.17         24.02          -2.07           0.00         0            0    -1.00         -1.00          0.00
  70046  XMMU_J100123.3+024716 150.347278  2.787839     1.75          -0.46           0.00        0              0    -1.00          -1.00           0.00           0.71           0.22        43            10    13.91          0.70         30.07          -2.80           0.00         0            0    -1.00         -1.00          0.00
  70069  XMMU_J100256.0+024335 150.733742  2.726395     1.75          -0.37           0.00        0              0    -1.00          -1.00           0.00           0.70           0.25        36             9    10.27          0.77         25.31          -0.01           0.00         0            0    -1.00         -1.00          0.00
  70076  XMMU_J100147.0+020235 150.446121  2.043154     1.75          -3.59           0.00        0              0    -1.00          -1.00           0.00           1.94           0.24       223            20    89.67          2.71         55.89          -2.82           0.00         0            0    -1.00         -1.00          0.00
  70077  XMMU_J100153.5+021153 150.473159  2.198191     1.75         -12.67           0.00        0              0    -1.00          -1.00           0.00           1.55           0.21       187            18    89.42          1.81         58.77          -1.09           0.00         0            0    -1.00         -1.00          0.00
  70078  XMMU_J100245.9+014512 150.691662  1.753475     1.75          -1.06           0.00        0              0    -1.00          -1.00           0.00           0.85           0.23        80            15    19.33          1.58         45.94          -1.12           0.00         0            0    -1.00         -1.00          0.00
  70079  XMMU_J100143.5+014107 150.431486  1.685294     1.75          -0.37           0.00        0              0    -1.00          -1.00           0.00           1.09           0.20       128            17    50.14          1.79         57.22          -1.68           0.00         0            0    -1.00         -1.00          0.00
  70080  XMMU_J100149.5+015131 150.456662  1.858631     1.75          -0.32           0.00        0              0    -1.00          -1.00           0.00           0.85           0.20       111            18    17.12          2.91         63.90          -1.55           0.00         0            0    -1.00         -1.00          0.00
  70081  XMMU_J100131.7+020432 150.382496  2.075646     1.75          -0.11           0.00        0              0    -1.00          -1.00           0.00           0.35           0.15        37            11    12.89          2.11         52.53          -0.69           0.00         0            0    -1.00         -1.00          0.00
  70082  XMMU_J100135.1+015952 150.396593  1.997832     1.75          -0.14           0.00        0              0    -1.00          -1.00           0.00           0.79           0.20        91            16    17.86          2.56         55.99          -1.90           0.00         0            0    -1.00         -1.00          0.00
  70083  XMMU_J100140.7+014307 150.419868  1.718801     1.75          -0.17           0.00        0              0    -1.00          -1.00           0.00           0.75           0.19        81            15    24.61          1.24         52.86          -0.98           0.00         0            0    -1.00         -1.00          0.00
  70084  XMMU_J100209.5+020339 150.539892  2.061110     1.75          -0.55           0.00        0              0    -1.00          -1.00           0.00           0.94           0.20       112            17    29.33          2.61         57.79          -1.11           0.00         0            0    -1.00         -1.00          0.00
  70085  XMMU_J100209.0+021116 150.537832  2.187982     1.75          -0.64           0.00        0              0    -1.00          -1.00           0.00           0.45           0.14        61            14    14.14          2.30         66.84          -0.73           0.00         0            0    -1.00         -1.00          0.00
  70087  XMMU_J100050.5+015337 150.210593  1.893776     1.75          -0.03           0.00        0              0    -1.00          -1.00           0.00           0.67           0.18        76            15    15.22          2.22         55.39          -1.03           0.00         0            0    -1.00         -1.00          0.00
  70089  XMMU_J100101.9+020039 150.257929  2.010858     1.75          -0.14           0.00        0              0    -1.00          -1.00           0.00           0.49           0.17        53            13    11.49          2.15         53.92          -0.77           0.00         0            0    -1.00         -1.00          0.00
  70091  XMMU_J100050.3+020658 150.209856  2.116273     1.75          -0.25           0.00        0              0    -1.00          -1.00           0.00           0.43           0.14        62            14    16.91          2.50         70.99          -0.27           0.00         0            0    -1.00         -1.00          0.00
  70095  XMMU_J100043.2+014607 150.180129  1.768664     1.75          -1.09           0.00        0              0    -1.00          -1.00           0.00           0.61           0.17        75            15    12.71          2.04         59.94          -0.66           0.00         0            0    -1.00         -1.00          0.00
  70096  XMMU_J100133.5+020842 150.389798  2.145179     1.75          -0.03           0.00        0              0    -1.00          -1.00           0.00           0.62           0.17        72            14    16.16          2.16         56.18          -0.64           0.00         0            0    -1.00         -1.00          0.00
  70133  XMMU_J095910.5+021939 149.793873  2.327521     1.75          -2.48           0.00        0              0    -1.00          -1.00           0.00           1.60           0.24       185            20    80.77          2.74         56.33          -2.65           0.00         0            0    -1.00         -1.00          0.00
  70134  XMMU_J100014.1+023607 150.058944  2.602076     1.75          -0.31           0.00        0              0    -1.00          -1.00           0.00           0.86           0.21        73            13    22.74          1.41         41.53          -0.92           0.00         0            0    -1.00         -1.00          0.00
  70135  XMMU_J100000.7+021531 150.002998  2.258772     1.75          -0.90           0.00        0              0    -1.00          -1.00           0.00           1.55           0.22       172            17    93.39          1.59         53.99          -2.20           0.00         0            0    -1.00         -1.00          0.00
  70136  XMMU_J095942.3+023134 149.926362  2.526185     1.75          -1.56           0.00        0              0    -1.00          -1.00           0.00           2.28           0.26       272            22    92.60          1.79         58.00          -1.47           0.00         0            0    -1.00         -1.00          0.00
  70137  XMMU_J095911.1+023348 149.796441  2.563480     1.75          -0.28           0.00        0              0    -1.00          -1.00           0.00           0.91           0.19       114            17    33.31          2.39         60.82          -0.62           0.00         0            0    -1.00         -1.00          0.00
  70138  XMMU_J095955.1+021834 149.979976  2.309479     1.75          -0.42           0.00        0              0    -1.00          -1.00           0.00           0.45           0.14        65            15    10.85          2.15         71.02          -0.86           0.00         0            0    -1.00         -1.00          0.00
  70139  XMMU_J095931.4+022653 149.881114  2.448084     1.75          -0.69           0.00        0              0    -1.00          -1.00           0.00           1.06           0.20       113            15    44.17          1.39         51.93          -1.51           0.00         0            0    -1.00         -1.00          0.00
  70140  XMMU_J100016.8+022438 150.070226  2.410584     1.75          -0.14           0.00        0              0    -1.00          -1.00           0.00           0.46           0.15        50            11    14.38          1.51         52.77          -0.40           0.00         0            0    -1.00         -1.00          0.00
  70141  XMMU_J095858.5+023709 149.743809  2.619396     1.75          -0.03           0.00        0              0    -1.00          -1.00           0.00           0.45           0.13        75            16    10.78          3.00         80.58          -0.81           0.00         0            0    -1.00         -1.00          0.00
  70143  XMMU_J095939.0+023047 149.912780  2.513309     1.75          -1.13           0.00        0              0    -1.00          -1.00           0.00           0.57           0.16        69            14    12.78          1.73         58.75          -1.04           0.00         0            0    -1.00         -1.00          0.00
  70145  XMMU_J100012.3+022211 150.051481  2.369776     1.75          -0.40           0.00        0              0    -1.00          -1.00           0.00           0.48           0.16        53            13    14.46          1.59         53.85          -0.09           0.00         0            0    -1.00         -1.00          0.00
  70147  XMMU_J095845.5+024049 149.689963  2.680300     1.75          -0.07           0.00        0              0    -1.00          -1.00           0.00           0.35           0.13        48            12    13.21          1.78         66.52          -0.71           0.00         0            0    -1.00         -1.00          0.00
  70149  XMMU_J095924.5+022534 149.852092  2.426169     1.75          -0.16           0.00        0              0    -1.00          -1.00           0.00           0.53           0.16        65            14    11.21          1.80         60.14          -0.64           0.00         0            0    -1.00         -1.00          0.00
  70150  XMMU_J095733.9+023410 149.391543  2.569613     1.75          -3.40           0.00        0              0    -1.00          -1.00           0.00           1.79           0.36        46             6    10.04          0.82         12.60          -2.18           0.00         0            0    -1.00         -1.00          0.00
  70151  XMMU_J095917.7+023222 149.823794  2.539580     1.75          -0.14           0.00        0              0    -1.00          -1.00           0.00           0.61           0.16        66            12    17.84          1.55         53.58          -1.01           0.00         0            0    -1.00         -1.00          0.00
  70152  XMMU_J095823.1+022629 149.596614  2.441400     1.75          -0.44           0.00        0              0    -1.00          -1.00           0.00           0.74           0.21        64            13    15.64          2.13         42.38          -0.91           0.00         0            0    -1.00         -1.00          0.00
  70154  XMMU_J095942.1+023335 149.925705  2.559929     1.75          -0.06           0.00        0              0    -1.00          -1.00           0.00           0.53           0.17        60            14    10.10          1.66         55.26          -1.20           0.00         0            0    -1.00         -1.00          0.00
  70170  XMMU_J095822.5+024725 149.593878  2.790287     1.75          -0.54           0.00        0              0    -1.00          -1.00           0.00           0.59           0.17        54            11    19.89          0.90         44.98          -0.07           0.00         0            0    -1.00         -1.00          0.00
  70177  XMMU_J095838.5+022756 149.660465  2.465646     1.75          -0.11           0.00        0              0    -1.00          -1.00           0.00           0.54           0.18        47            11    11.39          1.69         42.90          -0.78           0.00         0            0    -1.00         -1.00          0.00
  70196  XMMU_J095818.6+025234 149.577604  2.876264     1.75          -0.11           0.00        0              0    -1.00          -1.00           0.00           0.67           0.23        36             9    11.42          0.87         26.37          -0.86           0.00         0            0    -1.00         -1.00          0.00
  70210  XMMU_J100022.8+015841 150.095379  1.978082     1.75          -1.68           0.00        0              0    -1.00          -1.00           0.00           1.20           0.21       126            16    69.93          1.26         51.19          -1.72           0.00         0            0    -1.00         -1.00          0.00
  70212  XMMU_J095943.0+020932 149.929359  2.158996     1.75          -0.07           0.00        0              0    -1.00          -1.00           0.00           0.46           0.14        55            12    14.35          1.87         58.71          -0.86           0.00         0            0    -1.00         -1.00          0.00
  70213  XMMU_J095925.1+020755 149.854664  2.132122     1.75          -0.63           0.00        0              0    -1.00          -1.00           0.00           0.79           0.17        92            15    31.90          1.62         56.65          -0.08           0.00         0            0    -1.00         -1.00          0.00
  70214  XMMU_J100005.6+020822 150.023434  2.139495     1.75          -0.06           0.00        0              0    -1.00          -1.00           0.00           0.49           0.14        64            13    11.84          2.09         63.43          -0.59           0.00         0            0    -1.00         -1.00          0.00
  70215  XMMU_J095926.6+020629 149.860988  2.108145     1.75          -0.12           0.00        0              0    -1.00          -1.00           0.00           0.62           0.11        63             7    18.85          1.48         49.20          -1.23           0.00         0            0    -1.00         -1.00          0.00
  70216  XMMU_J095935.3+021145 149.897434  2.195880     1.75          -0.09           0.00        0              0    -1.00          -1.00           0.00           0.54           0.15        59            12    14.08          1.50         52.75          -0.49           0.00         0            0    -1.00         -1.00          0.00
  70220  XMMU_J100005.1+020334 150.021257  2.059469     1.75           0.00           0.00        0              0    -1.00          -1.00           0.00           0.49           0.15        65            14    12.51          2.15         64.61          -0.22           0.00         0            0    -1.00         -1.00          0.00
  70221  XMMU_J095918.0+015958 149.825379  1.999523     1.75          -0.15           0.00        0              0    -1.00          -1.00           0.00           0.56           0.18        57            13    10.66          1.85         50.62          -0.59           0.00         0            0    -1.00         -1.00          0.00
  70222  XMMU_J100004.9+020955 150.020746  2.165375     1.75          -0.06           0.00        0              0    -1.00          -1.00           0.00           0.50           0.15        57            12    10.93          1.52         56.11          -0.77           0.00         0            0    -1.00         -1.00          0.00
  70225  XMMU_J095826.6+014441 149.610881  1.744748     1.75          -0.25           0.00        0              0    -1.00          -1.00           0.00           0.61           0.21        46            11    10.44          1.41         36.81          -0.61           0.00         0            0    -1.00         -1.00          0.00
  70228  XMMU_J095814.5+021053 149.560628  2.181401     1.75          -0.23           0.00        0              0    -1.00          -1.00           0.00           0.97           0.37        47            13    11.03          1.85         24.11          -1.04           0.00         0            0    -1.00         -1.00          0.00
  70247  XMMU_J100024.4+014411 150.101934  1.736610     1.75          -0.03           0.00        0              0    -1.00          -1.00           0.00           0.53           0.17        49            11    10.77          1.26         45.28          -1.51           0.00         0            0    -1.00         -1.00          0.00
  70250  XMMU_J100024.0+021200 150.100124  2.200092     1.75          -0.22           0.00        0              0    -1.00          -1.00           0.00           0.56           0.18        43            10    12.57          0.87         38.27          -0.83           0.00         0            0    -1.00         -1.00          0.00
 100041  XMMU_J095945.2+012827  49.938512  1.474419     2.28           1.02           0.15       64              9    51.23           0.31           6.04          -1.00           0.00         0             0    -1.00         -1.00          0.00          -1.00           0.00         0            0    -1.00         -1.00          0.00
 100088  XMMU_J095740.2+021905 149.417651  2.318315     2.30           0.50           0.08       80             13    32.68           1.08          15.52          -1.00           0.00         0             0    -1.00         -1.00          0.00          -1.00           0.00         0            0    -1.00         -1.00          0.00
 100112  XMMU_J095932.2+013006 149.884263  1.501919     2.31           0.39           0.07       54             10    24.88           0.69          13.46          -1.00           0.00         0             0    -1.00         -1.00          0.00          -1.00           0.00         0            0    -1.00         -1.00          0.00
 100125  XMMU_J095736.2+021636 149.401196  2.276816     2.39           0.33           0.08       37              8    19.64           0.74          10.67          -1.00           0.00         0             0    -1.00         -1.00          0.00          -1.00           0.00         0            0    -1.00         -1.00          0.00
 100130  XMMU_J095927.7+013034 149.865635  1.509592     3.64           0.32           0.07       48             10    15.24           0.57          14.32          -1.00           0.00         0             0    -1.00         -1.00          0.00          -1.00           0.00         0            0    -1.00         -1.00          0.00
 100153  XMMU_J095836.1+021232 149.650621  2.209117     1.87           0.27           0.03      151             17    70.56           1.63          53.72          -1.00           0.00         0             0    -1.00         -1.00          0.00          -1.00           0.00         0            0    -1.00         -1.00          0.00
 100159  XMMU_J095948.7+014047 149.953249  1.679775     2.78           0.26           0.04      119             16    39.71           1.37          43.58          -1.00           0.00         0             0    -1.00         -1.00          0.00          -1.00           0.00         0            0    -1.00         -1.00          0.00
 100169  XMMU_J095756.0+020733 149.483413  2.126093     2.10           0.25           0.04       79             13    28.71           1.33          30.49           0.91           0.30        55            13    10.32          2.35         29.81          -1.00           0.00         0            0    -1.00         -1.00          0.00
 100181  XMMU_J095738.0+021204 149.408688  2.201317     2.90           0.23           0.05       48             10    13.08           0.99          19.92          -1.00           0.00         0             0    -1.00         -1.00          0.00          -1.00           0.00         0            0    -1.00         -1.00          0.00
 100184  XMMU_J095800.0+021634 149.500019  2.276129     2.52           0.23           0.04       81             14    24.96           1.60          34.08          -1.00           0.00         0             0    -1.00         -1.00          0.00          -1.00           0.00         0            0    -1.00         -1.00          0.00
 100192  XMMU_J095745.0+022109 149.437755  2.352650     2.23           0.22           0.05       52             12    15.70           1.37          23.13          -1.00           0.00         0             0    -1.00         -1.00          0.00          -1.00           0.00         0            0    -1.00         -1.00          0.00
 100197  XMMU_J095747.0+022135 149.445960  2.359969     2.71           0.21           0.05       50             12    11.12           1.21          23.19          -1.00           0.00         0             0    -1.00         -1.00          0.00          -1.00           0.00         0            0    -1.00         -1.00          0.00
 100198  XMMU_J095748.0+020830 149.450413  2.141804     2.15           0.21           0.05       47             10    18.39           1.04          22.05          -1.00           0.00         0             0    -1.00         -1.00          0.00          -1.00           0.00         0            0    -1.00         -1.00          0.00
 100201  XMMU_J095857.9+013258 149.741484  1.549494     2.23           0.20           0.04       44              9    12.71           0.88          20.97          -1.00           0.00         0             0    -1.00         -1.00          0.00          -1.00           0.00         0            0    -1.00         -1.00          0.00
