xid        iau_name           ra       dec    poserr  s0520         s_err0520    cts_0520 cts_err_0520  L_0520  bkg_cts_0520  exptime_0520  s210          s_err210      cts_210  cts_err_210  L_210   bkg_cts_210  exptime_210  s510          s_err510      cts_510  cts_err_510 L_510   bkg_cts_510  exptime_510 
     87  XMMU_J100024.3+015052 150.101663  1.847908     1.29           0.84           0.05      385             21   478.96           0.96          43.76           1.57           0.23       144            15    86.75          1.20         44.78           0.87           0.22        41           10    10.49          0.96         39.24
     88  XMMU_J100204.3+023121 150.517927  2.522535     1.15           1.44           0.05      914             33   909.48           1.86          60.64           2.94           0.28       363            25   213.34          2.52         59.91           2.21           0.34       134           20    22.78          2.03         50.46
     89  XMMU_J100106.2+023134 150.276122  2.526196     1.29           0.45           0.03      301             20   289.67           1.50          64.05           1.04           0.17       137            16    55.38          1.92         64.13          -2.94           0.00         0            0    -1.00         -1.00          0.00
     90  XMMU_J100109.5+022718 150.289840  2.455048     1.26           0.49           0.03      287             18   304.40           1.11          56.13           1.09           0.17       128            15    75.98          1.24         57.26          -2.21           0.17        36           10     7.15          1.02         50.98
     91  XMMU_J100158.9+022445 150.495633  2.412625     1.18           1.06           0.05      595             26   701.49           1.24          53.89           1.36           0.15       152            12    83.15          1.65         54.21           1.26           0.25        69           13    17.97          1.35         45.75
     92  XMMU_J100056.1+023509 150.233852  2.586075     1.17           0.77           0.04      589             28   587.87           1.78          73.11           1.33           0.18       198            20    79.46          2.49         72.38          -2.80           0.00         0            0    -1.00         -1.00          0.00
     93  XMMU_J100110.1+023241 150.292431  2.544920     1.27           0.53           0.03      371             21   363.50           1.52          67.06           0.74           0.15       101            15    37.67          1.90         66.67          -2.56           0.00         0            0    -1.00         -1.00          0.00
     94  XMMU_J100047.9+021127 150.199677  2.190890     1.20           0.75           0.04      429             23   531.51           1.36          54.53           1.52           0.22       172            18    95.20          1.83         55.20           0.96           0.22        56           12    11.87          1.42         48.93
     95  XMMU_J100006.8+021235 150.028617  2.209779     1.30           0.75           0.05      393             25   413.45           0.98          50.02           1.05           0.18       109            14    54.82          1.24         50.44          -1.20           0.23        45           12     8.89          1.03         44.62
     96  XMMU_J100136.4+025303 150.401812  2.884375     1.24           1.81           0.11      347             20   499.13           0.60          18.34           1.72           0.42        63            11    25.44          0.84         17.75          -5.44           0.00         0            0    -1.00         -1.00          0.00
     97  XMMU_J100015.8+015245 150.066163  1.879201     1.29           0.53           0.03      274             16   267.45           1.23          49.93           1.85           0.25       192            18   127.37          1.66         50.48          -0.83           0.12        39            6     9.08          1.32         43.48
     98  XMMU_J100217.3+022959 150.572369  2.499835     1.13           1.49           0.06      775             30  1086.04           1.41          49.92           2.45           0.27       253            20   170.56          1.93         50.23           1.40           0.27        72           14    17.45          1.55         42.96
     99  XMMU_J100014.9+022717 150.062119  2.454825     1.18           1.02           0.05      523             25   675.20           1.15          48.93           1.65           0.23       167            16    87.40          1.51         49.43          -1.61           0.24        48           12     7.65          1.29         42.83
    100  XMMU_J100103.0+024016 150.262678  2.671272     1.18           0.79           0.04      508             26   675.84           1.46          61.94           1.85           0.24       237            23   168.31          2.06         62.39           1.24           0.23        80           14    27.84          1.69         53.80
    101  XMMU_J100031.2+022819 150.130375  2.472074     1.42           0.39           0.03      219             14   203.51           1.14          54.24           1.36           0.20       153            16    79.74          1.48         54.69          -1.59           0.11        45            6     9.85          1.25         49.50
    102  XMMU_J100055.6+023109 150.231881  2.519298     1.32           0.52           0.03      339             21   358.86           1.43          62.13           0.81           0.16       104            15    38.16          1.84         62.50          -1.81           0.00         0            0    -1.00         -1.00          0.00
    103  XMMU_J100028.1+015546 150.117112  1.929605     1.35           0.43           0.03      233             18   230.63           1.19          52.07           0.70           0.17        76            13    29.72          1.55         53.44          -0.57           0.00         0            0    -1.00         -1.00          0.00
    104  XMMU_J100058.1+014559 150.242250  1.766440     0.99           2.45           0.07     1525             43  2848.69           1.62          59.61           8.21           0.41      1022            37  1285.82          2.30         60.43           4.56           0.36       280           21   178.54          1.86         50.89
