 IAU_ID               CID     XRA          XDec F(0.5-2_keV)  F(2-10_keV) F(0.5-10_keV)  RA            Dec    Capak_ID   Ilber_ID   ORA       ODec       i_mag    i_mag_err  KRA         KDec      K_mag    K_mag_err  Irac_RA   Irac_Dec  F(3.6micron) F(3.6micron)err ID_flag  Star_flag Offnu_flag z_spec     z_spec_class z_sepc_qual z_spec_or  z_phot  z_phot_class XMMID   
  CXOC100129.7+020644  62       150.37359   2.112164   6.08E-15      1.73E-14      2.41E-14      150.37364    2.112033   1199496    742779     150.37364    2.112033   21.03    0.04        150.373638   2.112038   20.7      0.01        150.373605   2.112013   33.26            0.13             1         -99       -99          1.916    1            4               2         1.941    1            2244   
  CXOC100131.9+020617  63       150.38282   2.104631   1.29E-15      4.39E-15      5.57E-15      150.38283    2.104523   1201851    743380     150.38283    2.104523   24.39    0.05        150.382845   2.104516   21.66     0.03        150.382783   2.104503   14.94            0.12             1         -99       -99          -99.0    -99          -99             -99       2.682    3            -99    
  CXOC100127.5+020838  64       150.36472   2.143831   2.37E-15      6.24E-15      9.03E-15      150.36472    2.143776   1594618    991118     150.36472    2.143776   23.41    0.03        150.364742   2.143805   21.93     0.03        150.364688   2.143788   7.22             0.11             1         -99       -99          3.328    1            4               6         3.361    1            2394   
  CXOC100124.0+021446  65       150.3498    2.24619    6.3E-15       1.45E-14      2.32E-14      150.3499     2.246106   1571020    975078     150.3499     2.246106   22.02    0.01        150.349931   2.246094   20.53     0.01        150.349881   2.246086   34.85            0.14             1         -99       -99          0.894    2            4               3         0.891    1            152    
  CXOC100130.8+021147  66       150.37813   2.196441   7.37E-15      1.52E-14      2.65E-14      150.37827    2.196406   1583012    983048     150.37827    2.196406   22.23    0.02        150.378258   2.196364   20.7      0.01        150.37825    2.196387   36.84            0.13             1         -99       -99          1.511    1            4               6         1.53     1            2148   
  CXOC100140.0+021411  67       150.41665   2.236417   2.28E-15      1.4E-14       1.35E-14      150.41677    2.236573   1533780    951746     150.41677    2.236573   22.84    0.02        150.416778   2.236528   20.39     0.01        150.416716   2.236538   46.48            0.15             1         -99       -99          -99.0    -99          -99             -99       1.141    3            5289   
  CXOC100141.1+021260  68       150.42118   2.216549   1.21E-14      1.65E-14      3.87E-14      150.42123    2.21666    1538939    954656     150.42123    2.21666    21.62    0.01        150.421266   2.216616   20.3      0.01        150.4212     2.216625   42.56            0.13             1         -99       -99          0.621    1            4               3         0.614    1            2191   
  CXOC100141.3+021031  69       150.42219   2.175362   1.97E-14      3.33E-14      6.78E-14      150.42223    2.175392   1547736    960494     150.42223    2.175392   20.88    0.04        150.422266   2.175356   19.62     0.01        150.422206   2.175349   101.77           0.19             1         -99       -99          0.983    1            4               6         1.043    1            2078   
  CXOC100137.2+021612  70       150.40505   2.270085   2.48E-15      5.47E-15      9.99E-15      150.40506    2.27014    1526127    946793     150.40506    2.27014    20.84    0.02        150.405085   2.270142   19.93     0.01        150.405044   2.270138   61.09            0.16             1         -99       -99          -99.0    -99          -99             -99       1.667    1            30366  
  CXOC100029.7+022130  71       150.12363   2.358299   1.41E-14      2.71E-14      4.92E-14      150.12368    2.358294   1985024    1235913    150.12368    2.358294   20.68    0.01        150.123682   2.358252   19.19     0.01        150.123653   2.358258   104.57           0.21             1         -99       -99          0.728    1            4               5         0.727    1            61     
